Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2011/9/16,11433.71,11532.47,11407.41,11509.09,11271.19,11243.83,11262.44,11793.05,426,236,214,-77.16,-120.86,43.69,0.6935 ,0.5352 ,0.6492 ,0.5475 
2011/9/19,11506.67,11506.82,11255.25,11401.01,11339.17,11259.91,11291.61,11782.24,158,228,212,-62.91,-109.27,46.36,0.7338 ,0.6014 ,0.5624 ,0.5152 
2011/9/20,11401.47,11550.22,11373.92,11408.66,11399.73,11286.84,11319.31,11773.47,157,221,206,-47.49,-96.91,49.42,0.7575 ,0.6534 ,0.5673 ,0.5174 
2011/9/21,11408.58,11447.86,11117.28,11124.84,11375.36,11257.84,11316.71,11758.16,222,227,212,-53.34,-88.2,34.86,0.6429 ,0.6499 ,0.3783 ,0.4370 
2011/9/22,11114.02,11122.12,10597.14,10733.83,11235.49,11201.64,11287.37,11733.91,306,254,225,-89.78,-88.51,-1.27,0.4764 ,0.5921 ,0.2439 ,0.3543 
2011/9/23,10732.77,10808.49,10638.73,10771.48,11087.96,11179.58,11268.45,11709.08,223,213,224,-121.24,-95.06,-26.18,0.3786 ,0.5209 ,0.2738 ,0.3669 
2011/9/26,10771.78,11057.49,10771.78,11043.86,11016.53,11177.85,11256.42,11686.24,226,227,227,-126.02,-101.25,-24.77,0.4086 ,0.4835 ,0.4589 ,0.4513 
2011/9/27,11045.23,11369.3,11045.23,11190.69,10972.94,11186.34,11238.99,11663.04,213,238,229,-110.8,-103.16,-7.64,0.4800 ,0.4823 ,0.5355 ,0.4912 
2011/9/28,11189.1,11317.08,10996.98,11010.9,10950.15,11162.75,11211.54,11637.05,172,228,227,-106.78,-103.88,-2.9,0.4647 ,0.4764 ,0.4433 ,0.4477 
2011/9/29,11012.79,11271.14,10965.45,11153.98,11034.18,11134.83,11188.56,11612.52,191,205,229,-98.26,-102.76,4.5,0.5046 ,0.4858 ,0.5219 ,0.4871 
2011/9/30,11152.32,11152.39,10909.52,10913.38,11062.56,11075.26,11159.55,11582.42,213,203,208,-103.54,-102.92,-0.63,0.4470 ,0.4729 ,0.4062 ,0.4307 
2011/10/3,10912.1,10979.19,10653.34,10655.3,10984.85,11000.69,11130.3,11549.05,243,207,217,-125.36,-107.4,-17.95,0.3208 ,0.4222 ,0.3160 ,0.3794 
2011/10/4,10651.44,10825.44,10404.49,10808.71,10908.45,10940.7,11113.77,11520.77,267,217,228,-142.93,-114.51,-28.42,0.3535 ,0.3993 ,0.4095 ,0.4239 
2011/10/5,10800.47,10950.89,10738.1,10939.95,10894.26,10922.21,11090.03,11495.65,226,228,228,-140.68,-119.75,-20.94,0.4207 ,0.4064 ,0.4822 ,0.4601 
2011/10/6,10939.87,11132.6,10858.67,11123.33,10888.13,10961.16,11081.4,11472.85,190,228,217,-123.97,-120.59,-3.38,0.5288 ,0.4472 ,0.5708 ,0.5073 
2011/10/7,11123.41,11232.05,11051.13,11103.12,10926.08,10994.32,11086.95,11450.62,188,223,213,-104.46,-117.36,12.91,0.5939 ,0.4961 ,0.5582 ,0.5020 
2011/10/10,11104.56,11433.33,11104.56,11433.18,11081.66,11033.25,11105.55,11433.17,144,203,205,-69.73,-107.84,38.11,0.7292 ,0.5738 ,0.6918 ,0.5798 
2011/10/11,11432.8,11447.86,11365.67,11416.3,11203.18,11055.82,11121.08,11417.03,133,176,197,-36.9,-93.65,56.75,0.8094 ,0.6523 ,0.6792 ,0.5748 
2011/10/12,11417.36,11625.3,11417.28,11518.85,11318.96,11106.61,11134.68,11399.22,188,169,199,-2.1,-75.34,73.24,0.8439 ,0.7162 ,0.7168 ,0.5978 
2011/10/13,11518.09,11518.09,11377.82,11478.13,11389.92,11139.03,11136.93,11380.99,144,160,194,20.63,-56.15,76.78,0.8557 ,0.7627 ,0.6789 ,0.5841 
2011/10/14,11478.97,11646.83,11478.66,11644.49,11498.19,11212.14,11143.7,11362.99,134,149,186,49.43,-35.03,84.46,0.9032 ,0.8095 ,0.7450 ,0.6227 
2011/10/17,11643.35,11643.35,11378.35,11397,11490.95,11286.31,11143.5,11341.58,140,148,176,59.48,-16.13,75.61,0.8438 ,0.8210 ,0.5447 ,0.5412 
2011/10/18,11338.04,11652.28,11296.49,11577.05,11523.1,11363.14,11151.92,11324.66,201,161,169,72.41,1.58,70.83,0.8643 ,0.8354 ,0.6313 ,0.5844 
2011/10/19,11577.54,11633.7,11469.66,11504.62,11520.26,11419.61,11170.91,11308.04,170,158,163,81.9,17.64,64.26,0.8276 ,0.8328 ,0.5782 ,0.5612 
2011/10/20,11499.55,11581.25,11391.14,11541.78,11532.99,11461.45,11211.31,11295.37,166,162,161,87.28,31.57,55.71,0.8178 ,0.8278 ,0.5990 ,0.5707 
2011/10/21,11543.22,11812.46,11542.84,11808.79,11565.85,11532.02,11263.17,11288.18,264,188,168,108.79,47.01,61.77,0.8762 ,0.8439 ,0.7184 ,0.6331 
2011/10/24,11807.96,11940.75,11805.77,11913.62,11669.17,11580.06,11306.66,11284.35,162,193,170,136.38,64.89,71.49,0.9034 ,0.8638 ,0.7531 ,0.6547 
2011/10/25,11912.63,11912.86,11682.52,11706.62,11695.09,11609.09,11332.46,11277.25,161,185,173,145.17,80.94,64.23,0.8145 ,0.8473 ,0.5830 ,0.5813 
2011/10/26,11707.76,11891.21,11694.36,11869.04,11767.97,11644.11,11375.36,11277.29,184,187,173,156.69,96.09,60.6,0.8392 ,0.8446 ,0.6561 ,0.6179 
2011/10/27,11872.07,12284.31,11872.07,12208.55,11901.32,11717.16,11428.09,11282.49,252,205,183,188.85,114.64,74.21,0.8672 ,0.8522 ,0.7612 ,0.6815 
